IntervalRelMin,IntervalRelMax,NumberOfSamples,Dense,BatchSize,Epochs,TrainLoss,ValLoss,CustomMetrics_Small_rectangles_finalValue,CustomMetrics_Mid_rectangles_finalValue,CustomMetrics_Huge_rectangles_finalValue
0.3,0.9,1000,"[64, 64, 64, 64, 64]",50,1100,1.774084739736281e-05,6.741684046573937e-05,0.014486427418887615,0.012825722806155682,0.0020720681641250853
0.3,0.9,1000,"[64, 64, 64, 64, 64, 64]",50,1400,2.39595628954703e-05,5.478762250277214e-05,0.011688618920743464,0.0096962945535779,0.0013597707729786634
0.3,0.9,1000,"[64, 64]",50,500,0.00019562372472137213,0.0006274695042520761,0.017150385305285454,0.016357341781258583,0.00552613940089941
0.3,0.9,1000,"[64, 128, 64]",50,900,2.552056866989005e-05,7.481308421120048e-05,0.01080261543393135,0.010390396229922771,0.0016216821968555448
0.3,0.9,1000,"[256, 512, 1024, 512, 256]",50,1700,0.0017003254033625126,0.0020314774010330447,0.0158673282712698,0.015994023531675342,0.005218599922955036
0.3,0.9,1000,"[256, 512, 1024, 512, 512, 256]",50,2100,9.723593393573536e-05,0.00016004427743609995,0.011246426030993463,0.011230938136577606,0.0015289116417989135
0.05,0.25,4000,[32],50,500,0.0007520764484070241,0.0011010370217263699,0.004020083695650101,0.0036487474571913476,0.0007534716278314589
0.05,0.25,4000,[64],50,500,0.0006970537360757589,0.0007437308668158947,0.00454447278752923,0.003438850631937385,0.0005151169025339186
0.05,0.25,4000,[128],50,500,0.00019899006292689592,0.00022484645887743682,0.002637404249981045,0.0013633660273626447,0.000328687863657251
0.05,0.25,4000,"[64, 64, 64]",50,800,0.0001843395148171112,0.00024669573758728797,0.0015227553667500615,0.0007498745690099895,0.0005052394117228687
0.05,0.25,4000,"[64, 64, 64, 64]",50,800,0.00012081148452125494,0.00013968584244139493,0.0018419006373733282,0.0008055827929638326,0.00011719530448317526
